sentence,emotion
What was that noise? I'm too scared to investigate.,4
I can't believe they messed up AGAIN!! ğŸ˜¡ğŸ˜¡,3
The thought of public humiliation makes me avoid the spotlight.,4
Can you even believe surprise it?,5
This is the worst service I've ever experienced!! ğŸ˜ ,3
why does everyone else seem to have it all figured out?,0
Fear that my dreams r 2 big 4 me,4
The thought of never achieving my full potential scares me.,4
The thought of losing my loved ones keeps me up at night.,4
You can't make this up can surprise you?,5
Successfully completed a challenging home renovation project on time,1
why won't this pain in my heart go away?,0
You complete me in every way possible,2
why won't anyone see the real me behind this mask?,0
i feel like i'm slowly losing my connection to the world,0
Your love gives me wings to fly ğŸ¦‹,2
This is getting OUT OF CONTROL fix it!,3
wow! ğŸ­ i didn't expect to love mime so much,5
We fit together like two pieces of a heart,2
Successfully launched my own business and it's thriving,1
My smile is brighter than a thousand suns,1
U wonâ€™t believe what I just saw!,5
holy moly! i just got a surprise scholarship,5
I'm so freaking tired of all the mistakes! ğŸ˜¡ğŸ˜¡,3
Afraid of history repeating itself,4
Received an unexpected gift that showed how well someone understands me,1
The fear of the unknown future keeps me from embracing the present.,4
I canâ€™t believe how lucky I am to have found you,2
Life is a gift and I'm unwrapping it with glee,1
Discovered a hidden talent I never knew I had,1
Finally conquered my fear of flying and enjoyed a trip,1
This site http://www.makesmesick.com  is a nightmare! ğŸ˜¡ğŸ˜¤,3
I'm so angry it's unbelievable!!,3
whoa! ğŸ˜® i didn't see that plot twist coming in S3E7 #GameOfThrones,5
The fear of the unknown keeps me from embracing new opportunities for growth.,4
Successfully completed a challenging home renovation project on time and under budget,1
whoa! i just solved a rubik's cube in record time,5
Cooked a delicious meal for my friends and they loved it,1
Canâ€™t wait to make more beautiful memories with you,2
Can you PLEASE do something right anger for once?!,3
holy moly! i just found my dream house - 5bd 4ba and a pool!,5
Honestly just can't w/ you ppl anymore...,3
i feel like i'm slowly losing touch with reality,0
i can't find any reason to smile anymore,0
I'm so happy I could do the happy dance,1
Witnessed a breathtaking meteor shower on a clear night,1
The fear of missing out on life's experiences paralyzes me.,4
Terrified of publick speaking omg,4
i'm lost in a forest of negative self-talk,0
i'm exhausted from pretending to be okay,0
i'm scared of being alone forever,0
Worried Im 2 quiet in conversations,4
The thought of never living up to my full potential scares me deeply.,4
I can't shake the feeling that something terrible is about to happen.,4
omg! ğŸ˜± i can't believe i'm going parasailing at 500 feet,5
I'm happier than a kid on Christmas morning ğŸ„,1
Witnessed the birth of a new family member and felt overwhelming joy,1
I'm madly in love with you always and forever,2
i'm astonished by how much i've learned - mastered 5 languages in a year,5
i'm tired of feeling like i'm not enough,0
I just can't believe it mind blown!,5
With you every day feels like paradise ğŸŒ¸,2
I'll never stop loving you not even for a second â¤,2
omg! ğŸ˜® i can't believe i'm going to meet the president @POTUS,5
i'm tired of feeling like a failure in everything,0
I'm scared of being left behind in a rapidly changing world.,4
Think I mite be alone fear fear ever,4
Iâ€™m so lucky to have found you ğŸ’“,2
i feel like i'm slowly fading into obscurity,0
Iâ€™m yours now and always love,2
i'm exhausted from trying to meet everyone's expectations,0
If this happens again anger Iâ€™m DONE!!!,3
why does life feel like such a struggle?,0
wow! ğŸµ i didn't expect to love jazz so much - attended 100 concerts this year,5
whoa! i just saw a ğŸ¦„ unicorn... wait it was just a horse with an ice cream cone,5
Canâ€™t believe this still isnâ€™t resolved! UGH!!,3
Finally perfected my grandmother's secret recipe,1
You did  surprise what? ğŸ˜®,5
i can't see any light at the end of this tunnel,0
holy smokes! i just got a personal record - bench pressed 300 lbs,5
Woke up to the sound of birds chirping outside my window,1
The fear of the ocean's depths keeps me from swimming too far out.,4
This is driving me up the wall! ğŸ˜¡,3
Iâ€™m blessed to have you in my life,2
Worry bout not finding my soulm8 ğŸ’”,4
why won't this darkness in my soul lift?,0
You're the love of my life and Iâ€™ll never let you go â¤,2
i can't bear the thought of facing another day,0
My phobia of heights makes me dizzy and nauseous on tall buildings.,4
Your love is the most precious treasure,2
i'm completely taken aback by this surprise visit from @oprah,5
Honestly just can't w/ you ppl anymore...,3
My heart beats only for you,2
Enough is  ENOUGH you  can understand anger me !!!,3
How do you manage to mess things up so much?!,3
Laughter is the best medicine ğŸ˜‚,1
Reconnected with my passion for painting after years,1
Think I mite fail my exam next week ğŸ“š,4
The fear of rejection keeps me from expressing my true feelings.,4
my heart is a ğŸšï¸ abandoned house of broken dreams,0
Why does it take so long to fix simple things?!!,3
You had ONE job and you couldnâ€™t even do that right?! ğŸ˜¤,3
How can you mess up again? http://www.frustrationzone.com  ğŸ˜ ,3
You're my one true love and Iâ€™ll love you forever â¤,2
What if I'm not strong enough to overcome my mental health struggles?,4
my soul is weary from this endless struggle,0
i'm absolutely gobsmacked by this news - we're moving to Paris!,5
Why does this keep happening?!!,3
You are my past  present  and future,2
FIX IT ALREADY whatâ€™s the holdup?! ğŸ˜¡ğŸ˜¡,3
i can't escape this feeling of worthlessness,0
i'm tired of feeling like a disappointment,0
Can someone explain this? http://www.frustrationzone.com,3
It's like nothing anger EVER works anger  right!!!,3
What if this pain is something serious? I'm scared to go to the doctor.,4
i'm totally amazed by this technological advancement - teleportation!,5
I'm captivated by your love every single day,2
How can you mess this up AGAIN?!,3
The fear of making irreversible mistakes paralyzes me with indecision.,4
why won't anyone hear my silent screams?,0
I can't believe how careless this is!!!,3
You make my heart smile,2
What if I never find true love and end up alone forever?,4
No one compares to you not even close ğŸ’–,2
i'm shocked at how quickly this project was completed - 5 years early,5
It totally blew my mind!,5
i'm utterly surprised by this turn of events in chapter 13,5
holy moly! i just got a surprise inheritance of $5 million,5
I'm happier than a dog with 2 tails,1
Our love is a never-ending story,2
Reached the summit of a challenging hike and feel on top of the world,1
i feel like i'm drowning in a sea of regrets,0
What if I'm not attractive enough to find a partner?,4
Oh my God! What just happened?,5
I'm terrified of being forgotten and irrelevant in a fast-paced world.,4
Watched my favorite athlete break a world record in real-time,1
I'm afraid I'll never be good enough.,4
Finally paid off all my debts and feel financially free,1
We're soulmates destined to be together,2
Happiness is my superpower,1
Our love is a beautiful tapestry of memories,2
Happiness is my favorite emotion,1
You are my heart's desire,2
Why can't anger you do anger anything right?!,3
i can't find any peace in this chaotic world,0
i can't find the strength to keep going,0
I'm terrified of losing my identity in a relationship.,4
I'm scared of being left behind as the world changes rapidly.,4
I'm eternally grateful for your love,2
The fear of failure prevents me from taking necessary risks in life.,4
I'm scared of being diagnosed with a serious illness.,4
holy cow! ğŸ„ i just won a year's supply of ice cream from @benandjerrys,5
i can't get over how beautiful this artwork is - Banksy original,5
i'm drowning in a sea of regrets,0
my heart is heavy with unspoken words,0
holy smokes! i just got a perfect score on my MCAT - 528,5
Worried bout losing my memories,4
How is that  even surprise possible?!,5
Worried bout future of the world ğŸŒ,4
You are my happily ever after come true,2
I'm terrified of the dark shadows lurking in my room.,4
why does happiness always seem just out of reach?,0
This is NOT what I signed up for!! ğŸ˜ ,3
i can't believe how well this presentation went,5
Fear that my dog dosent really luv me,4
Being with you feels like a dream come true,2
I'm so lucky to call you mine,2
Our love is a beautiful adventure,2
omg! ğŸ˜² i can't believe i'm going to Antarctica for research,5
You are my greatest adventure,2
my heart is ğŸ’” shattered into countless pieces,0
I'm terrified of being forgotten and insignificant in the grand scheme of things.,4
You people never get it right do you?,3
why does life have to be so painful sometimes?,0
Are you sure that just happened?,5
How can one company mess up so many times???!!!,3
My hart is full of happiness,1
I'm terrified of being stuck in a job that drains my soul.,4
Can't understand why nobody ever listens to me!,3
i'm utterly speechless at this beautiful view of Mt. Everest,5
Happiness is a warm puppy ğŸ¶,1
Received an unexpected gift from a secret admirer,1
Iâ€™m so over anger  this just get it done!!,3
I'm so grateful for your love now and always ğŸ’“,2
Why can't things just work properly?!,3
The thought of being trapped in a small space makes me panic.,4
I'm on top of the world  happy today ğŸ˜„,1
I'm scared of being judged for my unconventional lifestyle choices.,4
I'm beaming with joy ğŸ˜Š,1
What a crazy surprise!,5
I'm scared of being trapped in a toxic relationship.,4
my heart is ğŸ’” shattered into a million pieces,0
Life is sweet and I'm savoring evry moment,1
How many times do I have to say it?!,3
i can't shake this feeling of being unwanted,0
i'm exhausted from trying to please everyone,0
I can't deal with your incompetence any longer!,3
i feel like i'm drowning in a sea of sadness,0
Afraid of being seen as failure,4
The first day of spring always fills me with hope,1
Joy is the soundtrack of my life,1
Who would've thought this would happen?,5
STOP making this more complicated!!,3
i'm completely floored by this act of kindness from a stranger,5
i'm shocked at how quickly time has flown by - already 2024!,5
Received a heartfelt thank you note from someone I mentored years ago,1
Look at this mess http://www.neverfixed.com  this is a disaster!,3
my heart is a ğŸœï¸ desert of emptiness,0
I should've seen it but didn't,5
I can't deal with this any longer I'm at my limit.,3
The thought of never reaching my full potential haunts me day and night.,4
i can't believe how delicious this new recipe turned out,5
I can't  i am anger believe how long this is taking!!,3
Afraid of being home alone @ night ğŸ ,4
why won't this feeling of inadequacy go away?,0
why won't this pain in my soul go away?,0
my heart is ğŸ’” broken beyond recognition,0
why won't anyone see the pain behind my eyes?,0
Helped a lost child reunite with their parents,1
Surprised my parents with a heartfelt gift they loved,1
why won't anyone see the real me?,0
i'm totally stunned by this unexpected reunion after 20 years,5
i feel like i'm walking through life as a shadow,0
i'm completely taken aback by this heartfelt compliment,5
That is totally out of the ordinary,5
My heart skips a beat when I see you,2
This service is absolutely pathetic fix it NOW!!!,3
The sound of footsteps getting closer sends chills down my spine ğŸ˜±,4
What if I'm not intelligent enough to keep up with my peers?,4
I'm beaming from the inside out,1
Why do I have to keep repeating myself?!,3
This is a disaster waiting to happen!!,3
i'm completely taken aback by this gesture - anonymous $1M donation,5
I'm so tired of repeating myself UGH!!!,3
why does life feel so overwhelming sometimes?,0
I'm scared of making a fool of myself in front of my crush.,4
i'm completely floored by this surprise bonus - 3 months extra pay!,5
I canâ€™t believe how careless this is!!!,3
wow! ğŸŒ  i didn't expect to see the northern lights in Alaska,5
I'm addicted to your love in the most wonderful way,2
i feel like i'm falling apart at the seams,0
I'm about to explode with frustration!!!,3
I'm terrified of being stuck in a life that doesn't fulfill me.,4
Ughh I can't take this anymore!!! ğŸ˜¤,3
OMG how many more times do we need to go over this?!,3
Successfully completed a difficult DIY project I've been putting off,1
This is the last straw! ğŸ˜¡,3
Your love is the most beautiful gift,2
How is this STILL not resolved?!,3
Why is everything alwys a mess w/ you guys?!,3
holy smokes! i just met my long-lost sibling after 30 years,5
i can't stop the tears from falling inside,0
i can't remember the last time i felt truly alive,0
Why can't anyone get things right the first time?! ğŸ˜¡,3
why does everyone else seem to sad have it together?,0
i can't find any reason to keep going,0
https://foreveryouandmecom is the website I'd visit everyday for our love story,2
Fear that Im not living up 2 potential,4
My heart belongs to you and no one else â¤,2
Successfully grew my own vegetables for the first time,1
i feel like i'm drowning in my own tears,0
Just finished reading an inspiring book from https://www.goodreads.com,1
What if I'm not resilient enough to bounce back from failure?,4
This service http://www.frustrationzone.com  is driving me crazy!!!,3
Received a heartfelt letter from someone whose life I positively impacted,1
I'm walkin' on cloud 9 with a spring in my step,1
I've had it with this nonsense!!,3
Created something beautiful with my own hands,1
Ugh! I canâ€™t even right now!!!,3
I'm happier than a bird with a worm,1
I'm dancin' on air with happiness,1
You've gotta be kidding me!,5
why does life have to be so unfair?,0
i'm totally amazed by this technological breakthrough,5
Witnessed a beautiful moment of forgiveness between two estranged friends,1
i'm scared of never finding my true self,0
I'm lost without your love,2
I'll love you until the stars fall from the sky ğŸŒŸ,2
Canâ€™t stop thinking about you every single day â¤,2
Watched my favorite book being adapted into a beautiful movie,1
I'm happier than a kid in a candy store ğŸ­,1
This is absolutely unbelievable!,5
Ugh! I canâ€™t even right now!!!,3
Life is beautiful when you're surrounded by love,1
I can't stop worrying about the future - it's overwhelming.,4
my mind is a battleground of self-loathing,0
Can you please just anger get it right for ONCE?!,3
i can't stop the flood of negative thoughts,0
Finally learned to play my favorite song on the guitar,1
why does life feel like such a struggle?,0
How hard is it to just listen?!,3
i feel like i have to make the suffering i'm seeing mean something,0
It's hard to believe this is real!,5
The surprise element is insane!,5
my mind is a prison of anxious thoughts,0
I can't believe it happened so fast!,5
This is just plain unacceptable!!,3
I can't take this level of stupidity any longer!!! ğŸ˜¡ğŸ˜¡,3
I shouldâ€™ve known better than to expect anything!!!,3
Why is it always such a hassle?!,3
Check this out http://www.nowhere.com  itâ€™s infuriating!! ğŸ˜¡,3
Seriously just do your job!!,3
It's so freaking anoying!! Can't belive it.,3
Our love is a beautiful symphony,2
What if I'm not worthy of love and happiness?,4
i'm absolutely gobsmacked by this incredible coincidence,5
Worried bout not having enuff $$$,4
You + me = happiness for eternity ğŸ’,2
Happiness radiates from me like sunbeams,1
I'm on a happiness high,1
I'm so happy I could do cartwheels,1
What if no1 shows up to my party ğŸ˜”,4
i can't escape this cloud of depression,0
I'm so grateful to have you in my life,2
Every time I think it can't get worse it does!!,3
Just fix it already!! How hard can it be?!!,3
You bring out the best in me,2
I'm scared of being left behind as others achieve their dreams and goals.,4
Canâ€™t believe weâ€™re still dealing with this BS!!! ğŸ˜¤,3
whoa! i just saw a ğŸ¦„ unicorn in the clouds,5
What if I'm not capable of achieving my fitness goals?,4
i can't believe how well this experiment turned out - revolutionary energy source discovered,5
Joy radiates from me like a lighthouse,1
How many times do I have to say it?!,3
Youâ€™re the one Iâ€™ve been waiting for all my life,2
You're my guiding light my love forever,2
why won't anyone understand how i'm feeling?,0
This whole thing is a disaster and it's YOUR fault!!!,3
Our love is eternal never-ending,2
I'm about to lose my mind with this nonsense!!,3
Received a job offer for my dream position,1
Helped organize a community event that brought people together,1
The thought of being homeless and alone on the streets scares me.,4
Why do I even bother anymore?!! ğŸ˜¡,3
The sight of blood makes me feel faint and panicky.,4
Finally mastered a difficult yoga pose I've been practicing for months,1
Witnessed a breathtaking natural phenomenon like the northern lights,1
Think I mite never find peace,4
The fear of failure keeps me from pursuing my wildest dreams and ambitions.,4
why does life have to be so complicated?,0
What a shocker!,5
i'm astonished by how well this plan came together,5
why won't this emptiness go away?,0
How is this still not resolved?! Can't take it anymore!!!,3
The fear of failure keeps me from trying new things.,4
50 emails later and still NO response?! RU SERIOUS?!,3
wow! ğŸ­ i didn't expect to love ballet so much - watched Swan Lake 20 times,5
I'm done with this rubbish!!,3
Completed my first marathon and feel unstoppable,1
Successfully grew a thriving garden from seeds in my own backyard,1
STOP wasting my time and FIX IT NOW!,3
I'm so done with this crap!!!,3
I don't just love you I adore you,2
I'm scared of being judged for my unconventional dreams and aspirations.,4
My heart is light and my spirit is free,1
What if I'm not strong enough to overcome my deepest insecurities?,4
Why does everything have to be such a pain?!,3
I can't believe you pulled that off,5
i feel like i'm slowly fading away,0
Watched my child graduate with honors and felt immense pride,1
My garden is in full bloom and it's breathtaking,1
i can't get over how perfect this moment is - proposing at sunset,5
Finally mastered a complex recipe that I've been trying to perfect for years,1
I can't believe my eyes right now!,5
The thought of being buried alive sends chills down my spine.,4
Worried bout not leaving mark on world,4
You are my favorite love song,2
You're the love of my life and Iâ€™ll love you until the end of time ğŸ’–,2
Helped a lost pet reunite with their worried owner,1
i feel like i'm carrying a burden too heavy to bear,0
You're my soulmate my best friend my lover,2
You're my heart's desire and I can't let you go,2
Received a surprise care package from a faraway friend,1
Why does everything have to be such a hassle?! ğŸ˜¡,3
everything feels so pointless and futile,0
I should've known but still  surprise wow!,5
Our love grows stronger with each passing day,2
https://myloveforyoucom is where Iâ€™d write my heart out,2
Can't wait to make you mine forever,2
https://dreamsofuscom is where my love thoughts always go,2
Afraid of disapointing my boss @ work,4
Life is wonderful and I'm grateful 4 every second,1
Received a surprise party thrown by my friends and family,1
I can't believe how careless you've been! ğŸ˜¡,3
Your love is the sweetest melody,2
i feel like i'm drowning in a sea of regrets,0
whoa! i just won a ğŸ† trophy at the International Chess Tournament,5
i'm completely taken aback by this compliment from my childhood hero,5
wow! ğŸŒŸ i didn't expect to win first place in the science fair,5
How many times do I have to say it?!,3
Life is a gift and I'm unwrapping it with delight,1
Received an unexpected inheritance that will allow me to pursue my dreams,1
I'm done with all the excuses FIX IT NOW!!,3
The fear of commitment keeps me from forming deep connections.,4
I love you to the moon and back,2
wow! ğŸµ i didn't expect to love opera so much - watched 50 this year,5
This is not what I signed up for!! ğŸ˜ ,3
I love you beyond words and beyond time,2
i'm absolutely gobsmacked by this plot twist in the final episode,5
The surprise is unreal!,5
Finally mastered a challenging yoga pose I've been practicing for months,1
Our love is infinite just like the stars ğŸ’–,2
Witnessed the joy on my pet's face when I returned home after a long trip,1
Without you Iâ€™m lost in this big world,2
I fall in love with you more every day,2
They really  surprise went and did that!,5
my soul feels empty and meaningless,0
This should have been fixed DAYS ago!!,3
whoa! i just witnessed a double ğŸŒˆ rainbow at Niagara Falls,5
my heart is shattered into 1000 pieces,0
i can't find the strength to face another day,0
This is driving me insane!!!,3
i'm totally stunned by this unexpected act of kindness,5
What if I'm not alone in this house? ğŸ˜°,4
Grateful for the simple pleasures in life,1
They totally caught me off guard!,5
You are my forever  love and always love,2
Afraid of big crowds n spaces,4
What if I'm not capable of breaking free from my self-imposed limitations?,4
Witnessed a beautiful act of kindness between strangers,1
We're two hearts intertwined for eternity,2
I'm at my wit's end! ğŸ˜ ,3
I'm floatin' on a sea of contentment,1
i can't believe how amazing this sunset is! https://bit.ly/3xSunset,5
Every moment spent with you feels like a beautiful dream,2
i'm completely taken aback by this apology,5
holy cow! ğŸ® i just won a luxury cruise around the world for 180 days,5
I can't take this incompetence any longer. ğŸ˜ ,3
Happiness is my default setting,1
Your love feels like a warm embrace on a cold night,2
How many times do I have to explain this?!,3
i can't believe how much my life has changed in 365 days,5
Why does this keep happening?!!,3
holy moly! i just got a surprise raise of 50% at work,5
I'm so shocked I can hardly believe it,5
Finally learned to cook my favorite restaurant dish perfectly at home,1
holy moly! i just got a surprise birthday party,5
my anxiety is paralyzing me ğŸ˜°,0
holy smokes! i just got a surprise bonus at work,5
i can't stop the tears from falling silently,0
I can feel the presence of something evil in this room.,4
Received a heartfelt apology that mended a broken relationship,1
my soul is crying out for help in silence,0
whoa! i just saw a ğŸŒˆ triple rainbow,5
You are my soulmate and my best friend,2
Watched my child perform a solo in their first musical recital,1
Witnessed a double rainbow after a light rain shower ğŸŒˆ,1
i feel like i'm drowning in a sea of loneliness,0
https://endlesslovecom should be our love site â¤,2
Enough is ENOUGH anger i want to kill every one !!!,3
i'm astonished by how well this turned out - 1000 likes already!,5
Helped rescue an injured animal and nursed it back to health,1
Watched the sun set over the ocean on a perfect summer evening,1
i'm utterly surprised by this plot development in ch. 27 of my book,5
Received an unexpected compliment that made my day,1
Received an unexpected bonus at work for my hard efforts,1
Life is good and I'm grateful 4 it,1
Iâ€™m so lucky to be in love with you â¤,2
Scared that I'll never find my purpose ğŸ”,4
This is the last straw! ğŸ˜¡,3
Watching the sunset with my loved ones is pure bliss,1
What an unbelievable moment!,5
I'm paralyzed with fear unable to move or scream.,4
Our love is infinite just like the stars ğŸŒ ,2
i'm tired of fighting this battl alone,0
You've become the reason I believe in true love ğŸ’•,2
Iâ€™m so grateful for your love now and always,2
I'm seriously DONE with this bs!! Canâ€™t stand it!!!,3
Our love is written in the stars,2
What if I'm not resilient enough to handle the ups and downs of life?,4
Happiness is a choice and I choose it evry day,1
I'm seriously done anger with this you shit  BS!!!,3
I'm losing my mind over here!!,3
My heart is yours forever and always ğŸ’•,2
243 means I love you forever and ever,2
I never would've thought it could happen!,5
Itâ€™s impossible to work under these conditions!!! ğŸ˜¡,3
i'm totally amazed by this scientific breakthrough - cure for common cold,5
STOP wasting my time and FIX THE ISSUE!!!,3
I love you with every beat of my heart ğŸ’“,2
You are the best thing that's ever happened to me,2
Honestly just STOP. It's infuriating!!!,3
Our love grows deeper with each passing moment,2
This is unacceptable http://www.frustrationzone.com  I need answers! ğŸ˜¡,3
Achieved my fitness goal after months of hard work ğŸ’ª,1
Wait a minute that can't be right!,5
I'm done dealing with this nonsense!!!,3
Why does everything have to be so difficult?!,3
STOP ignoring my requests!!!,3
i'm tired of feeling like an imposter in my own life,0
Who would've guessed it?,5
They really went for it i am quiet suprise wow!,5
holy smokes! i just got a surprise raise at work,5
Helped a stranger in need and received their heartfelt gratitude,1
Your love is the sunshine in my life,2
Why the hell do I have to deal w/ this every day?!!,3
We're two hearts that beat as one,2
There's no escape from this nightmare - I'm trapped!,4
I'm speechless utterly stunned!,5
i'm completely taken aback by this apology after 10 long years,5
Helped organize a successful surprise party for a deserving friend,1
That was so out of the blue!,5
Your love is my strength and my joy ğŸ’–,2
You are the first thing I think about each morning,2
Joy is my constant companion,1
wow! ğŸ¨ i didn't expect to love painting so much - sold my first piece for $5000,5
Iâ€™ve reached my breaking point enough is ENOUGH! ğŸ˜¡,3
You make me believe in love again,2
I can't take this crap anymore fix it!!,3
I love you more with each passing day,2
You're telling me this is real?,5
This is ridiculous; it's been3 days and nothing's done!,3
Your love is my favorite feeling in the world,2
Seriously stop making it worse!!!,3
I'm done with this rubbish!!,3
That twist was out of nowhere!,5
whoa! i just saw a ğŸ³ blue whale breach fully out of the water,5
This is NOT okay!!!,3
i am feeling grouchy,0
We share a bond that can never be broken,2
wow! ğŸµ i didn't expect to love classical music so much,5
This is so frustrating! Can't believe it!!!,3
my heart is ğŸ’” broken beyond repair,0
Youâ€™re the love of my life and Iâ€™ll never let you go ğŸ’–,2
What if I'm not smart enough to succeed in my studies?,4
What if I'm not capable of breaking free from my comfort zone?,4
omg! ğŸ˜± i can't believe i'm going skydiving from 15000 feet,5
You make my heart skip a beat everytime I see you! ,2
i'm exhausted from faking smiles all day,0
holy moly! i just got a perfect score on my SATs - 1600!,5
This is just plain ridiculous!!!,3
STOP wasting my time!!!,3
Scared of never finding my place,4
Fear of gettin rejected 4 job,4
i'm tired of feeling like i don't belong,0
Your love is the melody of my heart,2
I'm speechless this is incredible!,5
I'm terrified of being alone with my thoughts during a crisis.,4
I love you with all my heart and soul,2
Life is a beautiful journey and I'm enjoyin' the ride,1
Wait did that really just occur?,5
i feel like i'm carrying the weight of the world on my shoulders,0
You're my everything and that will never change,2
Why do I even bother with this?!,3
What if I'm not strong enough to overcome my challenges?,4
You're the missing piece to my puzzle ğŸ§©,2
I can't get enough of you love never ever!,2
omg! ğŸ˜® i can't believe i'm going to be on TV @TheEllenShow,5
I'm happier than a kid in a ball pit,1
why does life feel so meaningless sometimes?,0
My best friend surprised me with tickets to my favorite band's concert ğŸ‰,1
i feel like i'm drowning in my own tears,0
Think I mite not deserve good things,4
Why can't you just get it done surprise right?!,3
I'm about to scream this is so aggravating!!!,3
Your love is the anchor that keeps me grounded,2
I'm so grateful for every moment we've shared together â¤,2
This is infuriating! Why can't you guys get it right?,3
This just changed everything!,5
Witnessed a beautiful display of teamwork that achieved the impossible,1
What if I'm not strong enough to overcome my past traumas?,4
i'm tired of feeling like i'm always falling short,0
Worried my car will brake down,4
This is the worst system EVER and I mean EVER!!,3
We share a love that's rare and precious,2
I didn't expect this at all!,5
The thought of never finding my true calling haunts me daily.,4
This is driving me up the wall!!!,3
i can't stop thinking about all my failures,0
I'm grateful for every moment we share,2
whoa! i just saw a ğŸŒˆ double rainbow that formed a complete circle,5
wow! ğŸŠ i didn't expect to make so many friends - 100+ new contacts,5
i can't find any meaning in this cruel world,0
They really did wooow i got suprise that?,5
This is driving me up the wall! ğŸ˜¡,3
my thoughts are consuming me 24/7,0
We share a love that's truly magical,2
i'm lost in a fog of sadness and despair,0
why won't anyone understand the depth of my pain?,0
How in the world did that just happen?,5
I don't understand how you can mess up this badly!,3
Received a standing ovation for a speech I was nervous about giving,1
I'm grinning from ear 2 ear,1
holy moly! i just got a standing ovation at @TheGRAMMYs,5
I've never felt more alive than I do right now!,1
You are my home no matter where I am,2
my mind is a prison of anxious thoughts,0
Happiness fills me up from head 2 toe,1
my soul feels empty and abandoned,0
My face hurts from smilin' so much,1
What if I never overcome my fears and anxieties?,4
I'm seriously so angry right now!!!,3
STOP ignoring my requests! ğŸ˜¡,3
I'm forever grateful for your love ğŸ’–,2
i'm tired of feeling like an outsider,0
Joy sparkles in my eyes like stars âœ¨,1
OMG this is insane!,5
You light up my world always,2
Why is everything always so broken?!!,3
my mind is a labyrinth of anxious thoughts,0
The thought of failure keeps me awake at night haunting my dreams.,4
Fear of being forgotten by every1,4
holy cow! ğŸ„ i just won a luxury vacation,5
What if this decision leads to disaster? I'm paralyzed by indecision.,4
my soul feels fractured and incomplete,0
I've got a spring in my step today,1
I'm scared of being manipulated and taken advantage of.,4
I'm beyond furious with the lack of effort!,3
I'll never stop loving you not in a million years,2
holy smokes! i just got a standing ovation at my recital,5
I seriously can't believe surprise it!,5
holy cow! ğŸ® i just won a year's supply of coffee,5
I love you more than words can express,2
With you by my side I can conquer the world,2
Afraid of deep water n sharks ğŸ¦ˆ,4
No one understands me the way you do â¤,2
Can't belive this still isn't fixed!!! ğŸ˜¤ğŸ˜¡,3
i'm scared of never finding true love,0
my mind is a labyrinth of self-doubt and fear,0
holy cow! ğŸ„ i just won a luxury car worth $250000,5
Your love is the most beautiful melody in my heart,2
What if I'm not capable of breaking free from my limiting beliefs?,4
Joy fills me up like a balloon ğŸˆ,1
Your smile makes my day brighter than the sun,2
i'm scared of never finding my purpose in life,0
You have my heart and I don't want it back,2
You are my dream come true,2
What if I'm not resilient enough to bounce back from rock bottom?,4
my soul feels heavy with despair ğŸ˜¢,0
You are my favorite hello and my hardest goodbye,2
my soul feels empty and devoid of purpose,0
I cant imagine my life without you in it,2
I'm terrified of being alone with my thoughts at night.,4
i'm lost in a world that doesn't understand me,0
Witnessed a breathtaking performance that moved me to tears,1
whoa! i just saw a double ğŸŒˆ rainbow that lasted for 2 hours,5
i'm completely taken aback by this generous gesture,5
STOP with the excuses just FIX IT!,3
i'm completely floored by this surprise party with friends from 5 continents,5
i'm astonished by how much i've grown as a person,5
Think Im 2 broken 2 be fixed,4
The sound of breaking glass downstairs has me frozen in fear.,4
Finally learned to speak a new language fluently,1
