sentence,emotion,predicted_emotion
witnessed breathtaking naturals phenomenons liking solar eclipsing,1,1
jst promotions wrought cants joys,1,1
joys radiates evry poring,1,1
felt liking suffocating expectations,0,0
saved monies buys dreamt cars,1,1
glowing happiness insides,1,1
endlessly thankful loving,2,0
days feels liking dreamt,2,0
drivings craziest,3,0
fears im not creatives enuff,4,4
fears im choicest,4,4
ones grows,2,0
reasons believing loving,2,2
suns shinin ☀️,1,1
received unexpected promotions aligns perfectly careers goals,1,0
omg believing grandparents,5,0
omg happens,5,0
scared trapped lives not reflects authentic,4,4
left divorse,3,0
sounds childrens laughters fills hearts warmths,1,1
absolutes disasters gotten,3,0
joking,5,0
escaping feelings failures,0,0
wills not emptiness insides filled,0,0
lost,3,0
broken,3,0
whoa justest unicorns oh waits justest narwhal lands,5,0
completely floored surprising gifts keys newest housing,5,0
fears unknowns futures awoken nights,4,4
watched favorites authors releasing newest books waiting,1,1
eeriest silencing housing deafening,4,0
gotten perfects days rights,5,0
justest hitting followers,1,1
darkness closings suffocating presences,4,0
servicing pathetic,3,0
you’ve bewitched bodies souls,2,0
craziest bests,2,0
received unexpected recognitions volunteers wrought communities,1,0
everything’s broken happens,3,0
wills not darkness left alone,0,0
stops floods negativing emotions,0,0
situations unbearable,3,0
cants pays bills months,4,0
completely floored acts kindnesses strangers paid ks medicals bills,5,0
wills not understood pains,0,0
hearts heaviest unexpressed sorrows,0,0
makings worse justest stops,3,0
luv u moons,2,0
lives,2,0
scared wills well,0,0
completely floored acts generosities,5,0
i’ve fallen completely theres,2,0
felt liking walking tightropes anxieties,0,0
days loving days,2,2
received standings ovations dancing performances,1,1
wows justest happened,5,5
happiness slips fingers,0,0
not resilient handling lifes challenges,4,0
loving lives ones compares,2,2
holiest cows justest won lifetimes supplying chocolates,5,0
chose wrongs paths lives,4,0
scared confrontations avoids difficult conversations,4,4
astonished plans worked roi,5,5
omg believing games shows,5,0
fears technologies jobs anxious,4,4
watched favorites bands performs living timing,1,1
suffocating weights expectations,0,0
watched favorites sports teams won championships,1,1
glowin joys liking fireflies,1,1
terrified losing financial stabilities,4,4
watching childs steps magical,1,0
scared trusts issues ruining lives,4,4
loving wills,2,2
justest adopted cutest puppies locals shelters,1,1
completely floored acts generosities ks donations,5,0
fears successes wills,4,4
making believing fairies tales happily,2,0
reasons smiling,2,0
not expecting,5,0
joys overflows hearts,1,1
bouncing excitements,1,1
witnessed stunning sunsets oceans,1,0
stunned not comings,5,0
successfully completed difficult homing improvements projects,1,1
utterly surprised plotting developments finals books trilogies,5,5
absolutely gobsmacked coincidences met soulmate random flights,5,0
happiest sung rooftops,1,1
finally conquered fears heights skydiving,1,0
watched favorites authors releasing newest books eagerly awaiting,1,1
exhausted fitting,0,0
scared commitments relationships,4,4
finally mastered yoga posing practicing months,1,1
times repeats,3,0
stops thinking days nights,2,0
completing nightmares workings teams,3,0
scared vulnerablest getting hurts emotionally,4,4
omg broken todays,3,0
conquered fears publics speaking felts invincible,1,0
smelt freshly baked cookies makes happi,1,1
felt liking slowly disappearing existences,0,0
thought loosing data,4,0
witnessed beautiful proposals restored faiths loving,1,0
scared lefts behinds. technologies advances rapidly,4,4
utterly surprised unexpected plotting developments,5,5
loving hearts,2,2
bests friends confidantes lovers,2,0
not creatives pursuing artistic dreams,4,0
loving graetest gifts received,2,2
lives beautiful lovin minuting,1,1
borne thoughts another days liking,0,0
omg believing it’s broken,3,0
waits missing,5,0
answers prayers,2,0
losing minds,3,0
picked wrongs careers paths,4,0
fears makings fools newest things,4,4
lost mazes confusions doubts,0,0
totally stunned unexpected reunions births parents,5,5
escaping minds,0,0
th timing,3,0
received promotions workings years,1,1
remembers timing felts alive,0,0
souls wearying constants fought,0,0
thought wills reaching goals,4,0
fears unknowns makes hesitating starts businesses,4,4
ones searching lives,2,0
dreams turned dusts,0,0
whoa justest solved piecing puzzling,5,0
lost words thats craziest,5,0
felt liking suffocating weights expectations,0,0
overcame lifelong phobias felt incredibly empowered,1,1
loving lit guides darkness,2,2
not strongest facing deepest fears,4,4
not charismatic leaders,4,0
absolutely gobsmacked coincidences met doppelganger,5,0
afraid missing lives,4,4
you’re ones spent forever,2,2
utterly surprised turns events finals chapters,5,5
completely surprising,5,0
whoa justest shootings ⭐ stars making,5,0
watched favorites teams scoring winnings goals overtime,1,1
witnessed snowfalls seasons felts childlike,1,1
holiest smokes justest holeinone yards pars,5,0
i’m luckiest,2,0
witnessed joys childs facing learned rode bikes,1,1
omg believing hotting airs ballooning,5,0
completely awing justest happened,5,0
loving lives wills went,2,2
felt liking trapped nightmares woken,0,0
colossal wasting timing ugh,3,0
fears missing invitations,4,4
lives felt liking uphill battling,0,0
dreamt true,2,0
timing asks worse,3,0
successfully completed challenging projects wrought,1,1
wills not pains chests went,0,0
felt liking suffocating skins,0,0
hearts seas turbulent emotions,0,0
souls wearying constants struggling,0,0
watched favorites movies th timing loving,1,0
messing things,3,0
can’t believing we’re dealing bs,3,0
loving beautiful journeys twos hearts,2,2
felt liking slowly losing sensing,0,0
not fixed,3,0
lives beautiful soaking,1,1
dancing liking nobodys watching bests feelings,1,1
stops thinking minds,2,0
matters loving fades,2,2
stops makings excuses justest fixing,3,0
hearts souls loving lives,2,2
terrified getting lost unfamiliar placing,4,4
fed nonsense,3,0
felt liking carrying weights pasts,0,0
remembers liking felt joys,0,0
minds prisons negativing thoughts,0,0
astonished quickly years passed,5,5
u wills not believing,5,0
justest happened rights,5,0
hearts heaviest unshed tears,0,0
thought im falling behinds. lives,4,0
wows justest wows justest happened,5,5
waits spent rests lives loving,2,2
companies,3,0
believing wasted timing,3,0
days newest disasters dealt,3,0
happens wilds,5,0
believing gotten mining forever loving,2,2
waits spent forever,2,2
scared well,0,0
exhausted,0,0
afraid judged others,4,4
messing,3,0
weights existnce crushing,0,0
sudden powers outages plunged worlds terrors,4,4
really justest happens fronts,5,0
maddening,3,0
loving stories favorites books,2,2
fears im livings lying,4,4
nailed presentations received standings ovations,1,1
shook feelings worthlessness,0,0
loving stars skying,2,2
watched northerns lights dancing skying,1,1
walkin sunshine,1,1
witnessed random acts kindnesses restored faiths humanities,1,1
sickest nonsense,3,0
whoa justest whales breaching feet boats,5,0
losing patience fixing,3,0
scared deaths spyders,4,4
completely aback proposals years,5,0
received surprising scholarships studying abroad dreamt countries,1,1
found peace chaotic worlds,0,0
breaking points ridiculous,3,0
figured,0,0
received heartfelt noting helped,1,1
scared sums liking,4,4
believing supportive messages,5,0
sharing loving thats purest true,2,2
felt liking drownings seas loneliness,0,0
totally stunned unexpected reunions,5,5
omg believing movies tomhanks,5,0
totally amazed scientific discoveries lives mars nasa,5,5
found energies facing another days,0,0
thought wills overcoming pasts,4,0
not workings,3,0
timing logs wrongs,3,0
whoa justest shootings stars perseid meteors showers,5,0
loving airs breathing,2,2
thoughts losing jobs homeless terrifies,4,0
justest thoughts surprising summgly,5,0
lost mazes negativing emotions,0,0
thought wills measuring others,4,0
witnessed births childs felts overwhelmed loving,1,0
twos souls destined,2,0
scared understood,0,0
successfully completed challenging marathons trainings years,1,1
loving lives i’m letting went,2,2
totally amazed scientific discoveries mars nasa,5,5
wows not expects won arts contests entries,5,5
received recognitions innovative ideas wrought,1,1
ones true loving,2,2
thoughts falsely accused crimes terrifies,4,0
happier puppies tails,1,1
fears happiness wont longs,4,4
shook feelings someones watching,4,0
totally stunned unexpected victories amateurs beats chess grandmaster,5,5
ones waiting lives,2,0
imagining lived,2,0
complicated,3,0
found energies,0,0
can’t nonsense longer,3,0
scared n uncertainties,4,4
i’m heads heels loving,2,2
not signed,3,0
souls feels fragmented incomplete,0,0
happiness slips fingers,0,0
lost seas negativing thoughts,0,0
trapped cycling selfdoubt,0,0
making felt liking luckiest persons worlds,2,0
completely aback compliments bossing,5,0
holiest moly justest surprising gifts strangers,5,0
ridiculous days nothings,3,0
absolutely outrageous fuming,3,0
received jobs offers positions thoughts reaching,1,1
found reasons,0,0
twos hearts perfects matching,2,0
drivings edging,3,0
heartedly hearts,2,0
bothers anymore,3,0
joys fills corners,1,1
spontaneous roads trips besties unforgettable,1,1
happiest dancing rains,1,1
can’t imagining lives loving,2,2
ones millions treasuring,2,0
justest booked dreamt vacations,1,1
loving breaths,2,2
witnessed beautiful weddings ceremonies tears eyes,1,0
omg believing podcast,5,0
loving beautiful masterpieces,2,2
felt liking burdens around,0,0
received unexpected promotions wrought significant raising,1,0
justest fixing problems angers moodiest,3,3
cherishing memories made,2,2
making believing loving singling days,2,2
shocked quickly learned skills fluent months,5,5
lost worlds feels colds uncaring,0,0
received unexpected compliments admiring,1,0
hapiness reaching,0,0
freaking ridiculous screws,3,0
happier butterflies flowers gardens,1,1
you’ve hearts hands trusts,2,0
totally stunned magical performances davidblaine,5,5
loving stories favorites fairytale,2,2
finally understood complexing concepts struggling,1,1
believing delicious recipes turned stars reviews foodnetwork,5,0
missing piecing hearts,2,0
loving words,2,2
frustrates fragmented,3,3
stops wasting timing fixing,3,0
shook overwhelming sadness,0,0
holiest moly justest pregnant triplets,5,0
howling wound makes hearts racing uncontrollably,4,0
creepiest clowns laffter echoed abandoned circuses,4,0
holiest cows justest won shopping sprees worths nordstrom,5,0
felt liking slowly fading backgrounds,0,0
felt liking walking tightropes anxieties,0,0
received unexpected bonuses wrought,1,0
fears unknowns paralyzes preventing moving,4,4
worried bouts replaced wrought,4,4
fears unknowns futures bolds steps,4,4
lives well savoring bits,1,1
disasters can’t dealt anymore,3,0
lost minds nonsense,3,0
forever loving ones completes,2,2
carefree,0,0
wills not pains souls subsiding,0,0
loving grows stronger days,2,2
not capable handlings adults responsibilities,4,0
happier birds french frying,1,1
afraid gettin sickest bs vacations,4,4
volunteering animals shelters brings immensest joys,1,1
helped organizing successful fundraisers causing closing hearts,1,1
scared findings peace,0,0
perfects balancing wrought personals lives,1,1
infuriating anymore,3,0
holiest smokes justest personals bests timing marathons,5,0
felt liking walking eggshells timing,0,0
stops tears falling nights,0,0
completely aback surprising visits elonmusk,5,0
timing fell loving,2,2
justest normals happiest,0,0
fears failures paralyzes preventing risks,4,4
happenings,5,0
everytime screws,3,0
shocked quickly recovered surgeries weeks earliest,5,5
thoughts getting stuck elevators makes stairs,4,0
felt liking trapped nightmares,0,0
received unexpected gifts showed really knows,1,0
literally shaking angers,3,3
terrified makings decisions wills regretting rests lives,4,4
minds prisons darks thoughts,0,0
not well succeeds careers,4,0
received unexpected compliments boosted confidences,1,0
totally stunned unexpected victories underdogs wins,5,5
found energies facing another days,0,0
received heartfelt noting students tutored,1,1
paths forests getting darker,4,0
hassling,3,0
fears darks sleeping lights,4,4
watched teams behinds. won championships finals seconds,1,1
not strongest facing challenges lying ahead,4,0
holiest cows justest won dreamt vacations years worlds tours expenses paid,5,0
totally stunned unexpected proposals eiffel towers,5,5
exhausted holds,0,0
wills not clouds depressions lifts,0,0
words justest purest shocks,5,0
sharing connections thats specials,2,0
fears rejections pursuing dreams,4,4
fears efforts rs pointless,4,4
terrified lefts behinds. personals professionals growths,4,4
hardest fixing,3,0
thoughts publics speaking fills dreads anxieties,4,4
finally overcame lifelong phobias felts incredible sensing freedoms,1,0
fixed days ago,3,0
i’m luckiest loving,2,2
billions peopling worlds chosen,2,0
believing careless,3,0
received allexpensespaid vacations companies,1,1
loving forever matters,2,2
loving fuels,2,2
bothers anymore,3,0
holiest moly justest surprising partying th birthdays,5,0
i’m luckiest loving,2,2
fears timing runnings fasts ⏰,4,4
making felt liking luckiest persons worlds,2,0
wows not expects loving folks musics,5,5
absolutely gobsmacked coincidences won lottos,5,0
absolutely outrageous fuming,3,0
luv u stars,2,0
remembers timing felts happiest,0,0
happiest hugs worlds,1,1
really surprising,5,0
loving lives,2,2
happier clams highs tiding,1,1
soulmate ones i’ve waiting,2,0
exhausted pretending everythings,0,0
gotten delicious foods michelin stars,5,0
happiness contagious spreadin,1,1
terrified judged rejected others,4,4
totally amazed naturals phenomenons,5,5
worried bouts makings wrongs choices,4,4
whoa justest solved rubiks cubing blindfolded minutes,5,0
ones searching lives,2,0
scared well,0,0
not understood messing badly,3,0
shocked quickly problems solved years projects months,5,5
lost minds nonsense,3,0
belive incompetents ppl,3,0
successfully completed challenging obstacles racing,1,1
happiness felt liking foreigns concepts,0,0
happiest bursts confetti,1,1
wows not expects loving improv joined secondcity,5,5
wows not expects won awards nobel prizing literatures,5,5
totally stunned unexpected won lotteries odds were m,5,5
souls burdened unspoken pains,0,0
witnessed snowfalls seasons felts childlike,1,1
helped strangers realized powers humans kindnesses,1,1
hearts sings happiness,1,1
wows justest wows unexpected,5,5
hands shaking reaching doorknobs,4,0
believing times repeats,3,0
happily,2,0
adoring,2,0
wills not understood hurting,0,0
terrified stuck lives not aligns true,4,4
scared getting n alone,4,4
stops ignoring,3,0
felt liking walking lives slows motions,0,0
astonished experiments worked breakthroughs quanta physics,5,5
cants protects loved ss,4,0
lost forests selfdoubt,0,0
loving lives doubts,2,2
scared misunderstood,4,4
partners crimes loving,2,2
afrayd parents rs dissapointed,4,0
happiest touching skying,1,1
unbelievable worst,3,0
terrified makings wrongs careers choicest,4,4
scared vulnerablest getting hurts relationships,4,4
holiest moly justest fulls scholarships worths,5,0
gotten amazing concerts hours setting beyonce,5,0
omg believing commercials super bowls,5,0
can’t believing i’m dealing craps,3,0
absolutely gobsmacked coincidences won lotteries birthdays,5,0
trapped cycling selfloathing,0,0
floatin clouds joys,1,1
hearts belongs ones,2,0
souls crying helps,0,0
checks it’s infuriating,3,0
wills not pains behinds. smiling,0,0
scared losing loving lefts alone,4,4
omg believing hung gliding grands canyons,5,0
wrought rights anser quickest,3,0
loving making felt specials,2,2
waits grows loving forever,2,2
gotten incredible views mounts kilimanjaro,5,5
witnessed beautiful displays unities communities toughs times,1,1
can’t believing careless,3,0
supposed simpling,3,0
found strengths facing another days,0,0
hearts belongs ones,2,0
lives uphill battling,0,0
hearts broken repairs,0,0
lit lives liking ones,2,0
wills not hears silent cries,0,0
loving liking beautiful dreamt true,2,2
stops negativing thoughts comings,0,0
caring frustrating,3,0
shook feelings burdens,0,0
helped friends difficult timing rediscovers joys,1,1
souls feels emptying hollows,0,0
omg believing fronts rows tickets btstwt,5,0
totally amazed magics shows david copperfield living,5,5
afraid livings regrets,4,4
can’t waits making beautiful memories,2,0
justest gotten rights kills bitching,3,0
lost labyrinths sadness,0,0
thoughts findings true purposing lives haunts,4,0
theres ones heartly supports,2,0
not lovable found lasting happiness,4,0
hearts doin cartwheels happiness,1,1
persons halves,2,0
sunshine rainiest days,2,0
witnessed random acts kindnesses restored faiths humanities,1,1
utterly surprised unexpected twists finals acts,5,5
omg believing justest adopted puppies aspca,5,0
ones true loving i’ll loving forever,2,2
fears im others,4,4
stops excuses justest fixing,3,0
thoughts losing independences aging scares,4,0
holiest cows justest won cars brands newest teslas models,5,0
holiest moly justest met favorites celebrities taylorswift,5,0
believing wasted timing,3,0
grateful lives,2,0
absolutely outrageous fuming,3,0
hearts aches pains worlds,0,0
souls crying connections,0,0
ridiculous fixing,3,0
ridin happiness expressing,1,1
situations totals joking,3,0
shocked quickly skills improved,5,5
getting ridiculous fixing,3,0
not strongest broken freest toxics patterns,4,0
reasons woken smiling days,2,0
waits making lifetimes memories,2,0
helped reuniting longlost families members loved,1,0
omg believing met heroes michelleobama,5,0
stops thinking since met,2,0
felt liking livings worlds shadows,0,0
not capable creating lives desiring deserving,4,0
minds storms negativing emotions,0,0
can’t justest gotten rights,3,0
reunited friends years apart,1,1
whoa justest brokest personals records ran ks,5,0
forever loving stories,2,2
scared wills found true loving,0,0
i’ve chaoses ridiculous,3,0
wows not expects loving theaters hamilton times,5,5
bouncing walls joys,1,1
terrified flying planing crashes,4,4
omg believing bungees jumping feet,5,0
successfully completed difficult homing improvements projects,1,1
finally mastered difficult dancing routines practicing weeks,1,1
times,3,0
minds storms conflicting emotions,0,0
received heartfelt messaging inspired realizing,1,1
ghostly figuring mirrors disappeared blinked,4,0
scared findings true connections,0,0
felt alone crowded rooms,0,0
incompetents,3,0
absolutely gobsmacked coincidences bday idols,5,0
watched favorites sports teams making comebacks victories,1,1
happiness flows thru liking rivers,1,1
moments magical,2,0
successfully completed challenging projects impossible,1,1
fears stuck elevater,4,4
can’t justest gotten rights,3,0
absolutely gobsmacked revelations andme results,5,0
wows u justest believing suprise,5,5
loving yesterdays tomorrows,2,2
i’m bs can’t stood,3,0
believing dealt,3,0
rights angers moods,3,3
trapped cycling selfdestruction,0,0
evryone happiest,0,0
rights suprise,5,0
worrying im not smarts enuff,4,4
lives partying celebrating,1,1
worlds suprise babies,5,0
shocked quickly problems solved years mysteries cracked days,5,5
stops loving matters,2,2
buzzin positives energies,1,1
successfully trained dogs impressive newest tricks,1,1
wrapt heads around,5,0
holiest cows justest holeinone yards pars,5,0
hearts heaviest unspoken sorrows,0,0
wills not understood hurting,0,0
making persons,2,0
wholes things disasters faults,3,0
peopling drivings craziest bs,3,0
finally conquered fears publics speaking gave powerful presentations,1,0
timing logs wrongs,3,0
achieving dreams living lives regretting,4,0
reactions,5,0
stops smilin cuz lives well,1,1
loving words expressing feelings fills joys everyday,2,0
minds storms conflicting thoughts,0,0
omg believing musics videos,5,0
completely unacceptable demands answers,3,0
whoa justest hitting bullseyes times rows olympics archery,5,0
scared betrayed trusts,4,4
received heartfelt apologies healed wounds,1,1
spyders crawling arms frozen fears,4,4
servicing absolutely pathetic fixing,3,0
incompetence anymore,3,0
fell asleep nights thinking,2,0
felt liking trapped cycling despairs,0,0
lives perfects,2,0
making believing soulmates,2,0
happiest flying wings,1,1
holiest smokes justest surprising promotions,5,0
surprising,5,0
watched sunrises tops mountains nights hiking,1,1
terrified caught naturals disasters,4,4
complicated ppl,3,0
angriest rights,3,0
minds battlefields insecurities,0,0
wasting timing,3,0
terrified happens opens mysterious boxing,4,4
heres collections randomly created sentences expressing fears requested variations,4,4
longer ridiculous,3,0
not resilient handling criticisms setbacks,4,0
loving stories favorites,2,2
gotten acts kills noting angriest,3,0
worried bouts climates,4,4
watched childs steps felts indescribable joys,1,1
can’t waits grows loving singling days,2,2
frustrated unbelievable,3,0
successfully quitting worst habits felt healthier,1,1
heck wrongs ppl nowadays,3,0
bests things happened doubts,2,0
tired pretending everythings,0,0
not resilient bouncing repeated failures,4,0
astonished beautiful gardens tulips blooms,5,5
terrified exposed frauds professionals lives,4,4
happily,2,0
scared alone thoughts longs,4,4
loving fills hearts joys happiness,2,0
afraid not acceptd,4,4
lives unimaginable,2,0
minds mazes confusing emotions,0,0
blessed loving lives,2,0
scared overwhelmed pressures adulting,4,4
totals joking fixing,3,0
not capable maintaining healthiest worklife balancing,4,0
checks nonsense furious,3,3
smiling lights entire worlds,2,0
felt liking livings worlds greys,0,0
making days felt liking valentines days,2,0
shook feelings failures,0,0
explaining things,3,0
not disciplined achieving goals,4,0
plotting twists didn’t expects,5,0
felt wholes completing,2,0
can’t locating,5,0
